indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
142,3.0,R Shot Post,66:10:15,66:12:15,66:13:15,,G2,c2,s18,Bloopers,,
143,77.0,R Grounded Pass,66:20:00,66:22:00,66:23:00,,TB,b10,B3,b8,,
144,15.0,R Unsucc Pass,66:21:17,66:23:17,66:24:17,,B3,b9,TB,c10,,
145,78.0,R Grounded Pass,66:32:14,66:34:14,66:35:14,,B2,i3,TB,g5,,
146,79.0,R Grounded Pass,66:40:16,66:42:16,66:43:16,,TB,i10,B5,e4,,
147,3.0,R Shot Wide,66:40:23,66:42:23,66:43:23,,B5,e4,OT 5,,,
148,16.0,R Unsucc Pass,67:00:20,67:02:20,67:03:20,,G3,g6,G2,c3,,
149,5.0,R Aerial Pass,67:11:12,67:13:12,67:14:12,,TG,d8,G2,a2,,
150,80.0,R Grounded Pass,67:19:09,67:21:09,67:22:09,,G2,c4,G3,g4,,
151,4.0,R Shot Wide,67:20:01,67:22:01,67:23:01,,G3,g4,OT 5,,,
152,5.0,R Shot Wide,67:42:21,67:44:21,67:45:21,,G2,a3,OT 5,,,
153,81.0,R Grounded Pass,67:53:04,67:55:04,67:56:04,,TG,f5,G3,i4,,
154,8.0,R Shot On,68:06:04,68:08:04,68:09:04,,G3,f3,s16,,,
155,17.0,R Unsucc Pass,68:20:00,68:22:00,68:23:00,,B2,f9,TB,g11,,
156,82.0,R Grounded Pass,68:22:19,68:24:19,68:25:19,,B3,g7,TB,f11,Through Ball,
157,10.0,L Unsucc Pass,68:27:18,68:29:18,68:30:18,,TB,g9,B5,e1,,
158,11.0,L Grounded Pass,68:29:22,68:31:22,68:32:22,,G2,g3,TG,g5,,
159,18.0,R Unsucc Pass,68:33:09,68:35:09,68:36:09,,B3,h6,B2,c10,Bloopers,
160,19.0,R Unsucc Pass,68:47:04,68:49:04,68:50:04,,G4,a8,G2,h1,,
161,12.0,L Grounded Pass,69:03:22,69:05:22,69:06:22,,TG,g12,G2,h7,,
162,5.0,L Shot On,69:07:06,69:09:06,69:10:06,,G2,g2,s15,,,
163,83.0,R Grounded Pass,69:15:19,69:17:19,69:18:19,,TG,g10,G3,g9,,
164,20.0,R Unsucc Pass,69:19:04,69:21:04,69:22:04,,G3,h9,G4,a7,,
165,84.0,R Grounded Pass,69:22:24,69:24:24,69:25:24,,B5,c2,B2,d4,,
166,85.0,R Grounded Pass,69:24:15,69:26:15,69:27:15,,B2,d4,TB,c10,,
167,10.0,R Goal,69:41:20,69:43:20,69:44:20,,TB,b3,s17,Long Range,,
168,13.0,L Grounded Pass,70:07:23,70:09:23,70:10:23,,TB,c6,B5,e1,,
169,86.0,R Grounded Pass,70:10:01,70:12:01,70:13:01,,B5,f3,TB,c3,,
170,14.0,L Grounded Pass,70:16:08,70:18:08,70:19:08,,TB,a4,B5,e2,,
171,87.0,R Grounded Pass,70:19:02,70:21:02,70:22:02,,B5,e1,B2,i7,,
172,88.0,R Grounded Pass,70:20:20,70:22:20,70:23:20,,B2,i7,TB,g8,,
173,89.0,R Grounded Pass,70:24:23,70:26:23,70:27:23,,G4,e7,G2,h4,,
174,90.0,R Grounded Pass,70:31:08,70:33:08,70:34:08,,G2,g5,G4,f1,Through Ball,
175,11.0,R Goal,70:32:13,70:34:13,70:35:13,,G4,f1,s23,HLs,,
176,1.0,R Grounded Pass,00:54:21,00:56:21,00:57:21,,TB,f8,B4,d8,,
177,2.0,R Grounded Pass,00:58:00,01:00:00,01:01:00,,B4,d6,TB,g8,,
178,3.0,R Grounded Pass,01:01:17,01:03:17,01:04:17,,TB,g8,B3,c10,,
179,1.0,R Unsucc Pass,01:04:24,01:06:24,01:07:24,,B3,c10,TB,g7,Blunder,
180,1.0,R Goal,01:07:17,01:09:17,01:10:17,,TG,e10,s17,,,
181,2.0,R Unsucc Pass,01:22:14,01:24:14,01:25:14,,B4,b8,TB,e5,,
182,3.0,R Unsucc Pass,01:25:16,01:27:16,01:28:16,,G3,i7,TG,e1,,
183,4.0,R Grounded Pass,01:32:19,01:34:19,01:35:19,,TB,d2,B4,f2,,
184,4.0,R Unsucc Pass,01:39:24,01:41:24,01:42:24,,B3,g8,TB,c2,,
185,5.0,R Grounded Pass,01:43:15,01:45:15,01:46:15,,B4,g2,TB,e1,,
186,1.0,R Shot Wide,01:44:03,01:46:03,01:47:03,,TB,e1,OT 7,Big Chance,,
187,6.0,R Grounded Pass,01:59:15,02:01:15,02:02:15,,TB,g6,B4,f4,,
188,7.0,R Grounded Pass,02:01:20,02:03:20,02:04:20,,B4,f4,TB,f2,,
189,8.0,R Grounded Pass,02:09:20,02:11:20,02:12:20,,G3,e6,TG,a5,,
190,9.0,R Grounded Pass,02:24:12,02:26:12,02:27:12,,TB,c7,B4,e6,,
191,10.0,R Grounded Pass,02:28:21,02:30:21,02:31:21,,B3,d8,TB,h4,,
192,11.0,R Grounded Pass,02:30:19,02:32:19,02:33:19,,TB,h4,B4,d3,,
193,2.0,R Shot Wide,02:32:15,02:34:15,02:35:15,,B4,d2,OT 8,Big Chance,,
194,5.0,R Unsucc Pass,02:42:16,02:44:16,02:45:16,,TG,c1,G3,a5,,
195,12.0,R Grounded Pass,02:48:03,02:50:03,02:51:03,,TG,c5,G3,a7,,
196,6.0,R Unsucc Pass,02:50:03,02:52:03,02:53:03,,G3,b9,TG,d10,,
197,13.0,R Grounded Pass,02:55:21,02:57:21,02:58:21,,B3,e4,B4,c4,,
198,14.0,R Grounded Pass,02:57:22,02:59:22,03:00:22,,B4,d4,TB,g2,,
199,15.0,R Grounded Pass,03:05:17,03:07:17,03:08:17,,G3,g5,TG,b10,,
200,2.0,R Goal,03:13:03,03:15:03,03:16:03,,B3,g2,s22,Solo Goal,,
201,16.0,R Grounded Pass,03:23:18,03:25:18,03:26:18,,TG,g5,G3,i7,,
202,3.0,R Shot Wide,03:24:14,03:26:14,03:27:14,,G3,h10,OT 8,,,
203,17.0,R Grounded Pass,03:33:07,03:35:07,03:36:07,,TB,a8,B4,a5,,
204,18.0,R Grounded Pass,03:34:02,03:36:02,03:37:02,,B4,b5,TB,c7,,
205,19.0,R Grounded Pass,03:35:14,03:37:14,03:38:14,,TB,c7,B3,h5,,
206,20.0,R Grounded Pass,03:37:05,03:39:05,03:40:05,,B3,h5,TB,g7,,
207,1.0,L Unsucc Pass,03:39:03,03:41:03,03:42:03,,TB,g7,B3,f5,,
208,1.0,L Grounded Pass,04:03:02,04:05:02,04:06:02,,TG,g9,G3,g12,,
209,21.0,R Grounded Pass,04:05:08,04:07:08,04:08:08,,G3,g12,TG,g10,,
210,2.0,L Grounded Pass,04:06:02,04:08:02,04:09:02,,TG,g10,G3,g12,,
211,22.0,R Grounded Pass,04:06:17,04:08:17,04:09:17,,G3,g12,TG,e11,,
212,1.0,R Shot On,04:07:17,04:09:17,04:10:17,,TG,e11,s10,,,
213,3.0,L Grounded Pass,04:14:20,04:16:20,04:17:20,,TG,e8,G3,g10,,
214,7.0,R Unsucc Pass,04:15:07,04:17:07,04:18:07,,G3,g10,TG,d10,,
215,23.0,R Grounded Pass,04:19:11,04:21:11,04:22:11,,B4,c7,TB,b9,,
216,4.0,L Grounded Pass,04:20:22,04:22:22,04:23:22,,TB,b9,B4,a5,,
217,2.0,R Shot On,04:22:19,04:24:19,04:25:19,,B4,b2,s14,,,
218,5.0,L Grounded Pass,04:36:06,04:38:06,04:39:06,,TG,b9,G3,d5,,
219,24.0,R Grounded Pass,04:37:09,04:39:09,04:40:09,,G3,d5,TG,h6,,
220,1.0,R Shot Post,04:45:20,04:47:20,04:48:20,,B3,g2,s13,,,
221,8.0,R Unsucc Pass,05:07:10,05:09:10,05:10:10,,B3,f11,B4,f8,,
222,2.0,L Unsucc Pass,05:09:10,05:11:10,05:12:10,,TB,d10,B4,e9,,
223,3.0,R Goal,05:21:11,05:23:11,05:24:11,,B4,e2,s14,Solo Goal,,
224,25.0,R Grounded Pass,05:33:07,05:35:07,05:36:07,,B4,e8,TB,g6,,
225,26.0,R Grounded Pass,05:35:16,05:37:16,05:38:16,,TB,g7,B3,c10,,
