indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
263,6.0,R Goal,09:03:15,09:05:15,09:06:15,,G3,f11,s17,Big Chance,HLs,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,nan,nan,R Grounded Pass,0,1,s17,9
275,7.0,R Goal,10:00:03,10:02:03,10:03:03,,B4,f6,s17,HLs,nan,,f,6,6,6,0,6,1,6.082762530298219,80.53767779197439,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s17,10
279,2.0,R Shot Post,11:10:21,11:12:21,11:13:21,,TG,g11,s18,Big Chance,nan,,g,11,7,11,13,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,s18,11
282,4.0,R Shot On,11:31:08,11:33:08,11:34:08,,B3,e2,s16,nan,nan,,e,2,5,2,0,2,0,2.0,90.0,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s16,11
283,1.0,L Goal,11:33:24,11:35:24,11:36:24,,TB,f2,s13,nan,nan,,f,2,6,2,0,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,nan,nan,R Shot On,0,0,s13,11
289,7.0,R Shot Wide,12:19:15,12:21:15,12:22:15,,G3,g11,OT 7,nan,nan,,g,11,7,11,13,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 7,12
301,5.0,R Shot On,13:37:09,13:39:09,13:40:09,,B4,c3,s18,nan,nan,,c,3,3,3,0,3,2,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s18,13
303,6.0,R Shot On,14:00:07,14:02:07,14:03:07,,G3,f11,s22,Big Chance,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,s22,14
311,8.0,R Goal,15:17:08,15:19:08,15:20:08,,TG,e11,s23,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,L Grounded Pass,0,1,s23,15
314,9.0,R Goal,15:35:05,15:37:05,15:38:05,,G3,e12,s22,Tap In,Big Chance,,e,12,5,12,13,1,0,1.0,90.0,1,1,1,0,1,0,1,Through Ball,nan,R Grounded Pass,1,1,s22,15
316,10.0,R Goal,15:49:00,15:51:00,15:52:00,,TB,e3,s22,nan,nan,,e,3,5,3,0,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s22,15
326,1.0,L Shot On,16:48:08,16:50:08,16:51:08,,G3,f12,s16,Tap In,Big Chance,Bloopers,f,12,6,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,0,0,1,0,1,nan,nan,L Grounded Pass,0,1,s16,16
329,2.0,L Goal,16:56:16,16:58:16,16:59:16,,TB,e1,s20,nan,nan,,e,1,5,1,0,1,0,1.0,90.0,1,1,1,0,0,0,0,Through Ball,HLs,R Grounded Pass,1,1,s20,16
330,1.0,Own Goal,17:10:10,17:12:10,17:13:10,,G3,f3,s14,Bloopers,nan,,f,3,6,3,0,3,1,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,nan,nan,L Goal,0,0,s14,17
331,11.0,R Goal,17:23:24,17:25:24,17:26:24,,TG,e11,s14,nan,nan,,e,11,5,11,13,2,0,2.0,90.0,1,1,1,0,0,0,0,nan,nan,Own Goal,0,0,s14,17
333,3.0,L Goal,17:46:10,17:48:10,17:49:10,,TG,f12,s8,nan,nan,,f,12,6,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s8,17
335,12.0,R Goal,18:11:08,18:13:08,18:14:08,,G3,d12,s10,nan,nan,,d,12,4,12,13,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s10,18
339,13.0,R Goal,18:28:17,18:30:17,18:31:17,,B3,d2,s14,nan,nan,,d,2,4,2,0,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s14,18
340,14.0,R Goal,18:37:24,18:39:24,18:40:24,,B4,f1,s22,Big Chance,nan,,f,1,6,1,0,1,1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,nan,nan,R Goal,0,0,s22,18
342,15.0,R Goal,18:54:06,18:56:06,18:57:06,,G3,f11,s24,Tap In,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,1,HLs,nan,L Grounded Pass,0,1,s24,18
344,7.0,R Shot On,19:06:09,19:08:09,19:09:09,,TB,e2,s16,Bloopers,nan,,e,2,5,2,0,2,0,2.0,90.0,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s16,19
