,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
826,B1,4.123105625617661,75.96375653207352,1,1,0,0,0,0,0,0,s22
827,B5,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 8
832,B5,4.0,90.0,1,1,0,0,0,0,0,0,s4
834,B1,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s15
846,B3,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 8
848,B3,3.0,90.0,1,1,1,0,0,0,0,0,s23
852,B5,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s17
859,G1,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,s13
861,B4,5.830951894845301,59.03624346792647,1,0,0,0,0,0,0,0,OT 7
863,B4,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s10
866,B3,5.0,90.0,1,1,0,0,0,0,0,1,s8
872,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,1,0,0,s8
876,B5,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,1,s22
881,B4,2.0,90.0,1,1,0,0,0,0,0,0,s16
882,B4,2.0,90.0,1,1,1,0,1,0,0,0,s17
891,B5,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,0,s12
893,B4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s10
901,B4,6.0,90.0,1,1,0,0,0,0,0,0,s16
902,B5,3.0,90.0,1,1,0,0,1,0,0,0,s16
907,B4,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,0,s16
910,TB,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s10
913,TB,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s10
929,B4,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s20
934,B4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
937,G4,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s16
941,B5,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s24
947,G1,5.0,90.0,1,1,1,0,0,0,0,0,s13
948,G4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s15
950,B4,4.47213595499958,26.56505117707799,1,0,0,0,0,0,0,0,OT 3
954,G4,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s6
956,TB,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,1,OT 1
962,G5,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s18
964,B5,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,1,s3
966,G4,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,0,s10
972,B3,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s2
975,TB,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 5
977,TB,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s10
980,B5,5.830951894845301,59.03624346792647,1,1,0,0,0,0,0,0,s4
984,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s11
994,G5,2.0,90.0,1,1,1,0,1,0,1,0,s15
997,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s18
1018,B4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s10
1023,TB,2.0,90.0,1,1,1,0,1,0,0,1,s18
1024,TB,1.0,90.0,1,1,1,0,0,0,0,0,s20
1025,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s12
1028,G3,3.605551275463989,33.69006752597979,1,1,0,0,0,0,0,0,s10
1033,TG,2.0,90.0,1,1,1,0,0,0,0,0,s22
1036,TB,2.0,90.0,1,1,1,0,0,0,0,0,s22
1047,B4,6.0,90.0,1,0,0,0,0,0,0,0,OT 6
1056,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s16
1058,B6,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,1,s22
1064,B6,3.0,90.0,1,1,0,1,0,0,0,0,s15
1066,TG,2.0,90.0,1,1,1,0,0,0,0,0,s22
1068,B6,2.0,90.0,1,1,1,0,1,0,1,0,s19
1069,TG,1.0,90.0,1,1,1,0,0,0,0,0,s17
1072,TB,1.0,90.0,1,1,1,0,1,0,0,0,s19
1074,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s8
1078,TG,2.0,90.0,1,1,1,0,0,0,0,0,s16
1081,TB,2.0,90.0,1,1,1,0,1,0,0,0,s23
1083,TB,2.23606797749979,63.43494882292201,1,1,1,1,1,0,0,0,s5
1086,TB,2.0,90.0,1,1,0,0,1,0,0,0,s10
1087,B6,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 5
